candidate_id,full_name,email,phone,department,applied_date,application_month,application_year,offer_date,accepted,joined_date,hiring_duration_days,offer_acceptance_flag,joined_flag
C0031,Aisha Adams,aisha.adams31@example.com,+1-555-100-1030,Product,2025-03-10,3,2025,2025-03-30,True,2025-04-07,28.0,1,1
C0032,Ben Davis,ben.davis32@example.com,+1-555-100-1031,Sales,2025-03-12,3,2025,2025-04-02,True,2025-04-10,29.0,1,1
C0033,Carla Green,carla.green33@example.com,+1-555-100-1032,Data Analytics,2025-03-14,3,2025,2025-04-05,True,2025-04-13,30.0,1,1
C0034,Dinesh Jones,dinesh.jones34@example.com,+1-555-100-1033,Engineering,2025-03-16,3,2025,2025-04-08,True,2025-04-16,31.0,1,1
C0035,Elena Chen,elena.chen35@example.com,+1-555-100-1034,Finance,2025-03-18,3,2025,2025-04-11,True,2025-04-19,32.0,1,1
C0036,Fatima Foster,fatima.foster36@example.com,+1-555-100-1035,Human Resources,2025-03-20,3,2025,2025-04-09,False,,,0,0
C0037,Grace Ibrahim,grace.ibrahim37@example.com,+1-555-100-1036,Marketing,2025-03-22,3,2025,2025-04-12,False,,,0,0
C0038,Hugo Bennett,hugo.bennett38@example.com,+1-555-100-1037,Operations,2025-03-24,3,2025,,,,,0,0
C0039,Iris Evans,iris.evans39@example.com,+1-555-100-1038,Product,2025-03-26,3,2025,,,,,0,0
C0040,Jonah Harris,jonah.harris40@example.com,+1-555-100-1039,Sales,2025-03-28,3,2025,,,,,0,0
C0041,Aisha Adams,aisha.adams41@example.com,+1-555-100-1040,Data Analytics,2025-03-31,3,2025,2025-04-20,True,2025-05-02,32.0,1,1
C0042,Ben Davis,ben.davis42@example.com,+1-555-100-1041,Engineering,2025-04-02,4,2025,2025-04-23,True,2025-05-05,33.0,1,1
C0043,Carla Green,carla.green43@example.com,+1-555-100-1042,Finance,2025-04-04,4,2025,2025-04-26,True,2025-05-02,28.0,1,1
C0044,Dinesh Jones,dinesh.jones44@example.com,+1-555-100-1043,Human Resources,2025-04-06,4,2025,2025-04-29,True,2025-05-05,29.0,1,1
C0045,Elena Chen,elena.chen45@example.com,+1-555-100-1044,Marketing,2025-04-08,4,2025,2025-05-02,True,2025-05-08,30.0,1,1
C0046,Fatima Foster,fatima.foster46@example.com,+1-555-100-1045,Operations,2025-04-10,4,2025,2025-04-30,False,,,0,0
C0047,Grace Ibrahim,grace.ibrahim47@example.com,+1-555-100-1046,Product,2025-04-12,4,2025,2025-05-03,False,,,0,0
C0048,Hugo Bennett,hugo.bennett48@example.com,+1-555-100-1047,Sales,2025-04-14,4,2025,,,,,0,0
C0049,Iris Evans,iris.evans49@example.com,+1-555-100-1048,Data Analytics,2025-04-16,4,2025,,,,,0,0
C0050,Jonah Harris,jonah.harris50@example.com,+1-555-100-1049,Engineering,2025-04-18,4,2025,,,,,0,0
C0051,Aisha Adams,aisha.adams51@example.com,+1-555-100-1050,Finance,2025-04-21,4,2025,2025-05-11,True,2025-05-21,30.0,1,1
C0052,Ben Davis,ben.davis52@example.com,+1-555-100-1051,Human Resources,2025-04-23,4,2025,2025-05-14,True,2025-05-24,31.0,1,1
C0053,Carla Green,carla.green53@example.com,+1-555-100-1052,Marketing,2025-04-25,4,2025,2025-05-17,True,2025-05-27,32.0,1,1
C0054,Dinesh Jones,dinesh.jones54@example.com,+1-555-100-1053,Operations,2025-04-27,4,2025,2025-05-20,True,2025-05-30,33.0,1,1
C0055,Elena Chen,elena.chen55@example.com,+1-555-100-1054,Product,2025-04-29,4,2025,2025-05-23,True,2025-05-27,28.0,1,1
C0056,Fatima Foster,fatima.foster56@example.com,+1-555-100-1055,Sales,2025-05-01,5,2025,2025-05-21,False,,,0,0
C0057,Grace Ibrahim,grace.ibrahim57@example.com,+1-555-100-1056,Data Analytics,2025-05-03,5,2025,2025-05-24,False,,,0,0
C0058,Hugo Bennett,hugo.bennett58@example.com,+1-555-100-1057,Engineering,2025-05-05,5,2025,,,,,0,0
C0059,Iris Evans,iris.evans59@example.com,+1-555-100-1058,Finance,2025-05-07,5,2025,,,,,0,0
C0060,Jonah Harris,jonah.harris60@example.com,+1-555-100-1059,Human Resources,2025-05-09,5,2025,,,,,0,0
C0061,Aisha Adams,aisha.adams61@example.com,+1-555-100-1060,Marketing,2025-05-12,5,2025,2025-06-01,True,2025-06-09,28.0,1,1
C0062,Ben Davis,ben.davis62@example.com,+1-555-100-1061,Operations,2025-05-14,5,2025,2025-06-04,True,2025-06-12,29.0,1,1
C0063,Carla Green,carla.green63@example.com,+1-555-100-1062,Product,2025-05-16,5,2025,2025-06-07,True,2025-06-15,30.0,1,1
C0064,Dinesh Jones,dinesh.jones64@example.com,+1-555-100-1063,Sales,2025-05-18,5,2025,2025-06-10,True,2025-06-18,31.0,1,1
C0065,Elena Chen,elena.chen65@example.com,+1-555-100-1064,Data Analytics,2025-05-20,5,2025,2025-06-13,True,2025-06-21,32.0,1,1
C0066,Fatima Foster,fatima.foster66@example.com,+1-555-100-1065,Engineering,2025-05-22,5,2025,2025-06-11,False,,,0,0
C0067,Grace Ibrahim,grace.ibrahim67@example.com,+1-555-100-1066,Finance,2025-05-24,5,2025,2025-06-14,False,,,0,0
C0068,Hugo Bennett,hugo.bennett68@example.com,+1-555-100-1067,Human Resources,2025-05-26,5,2025,,,,,0,0
C0069,Iris Evans,iris.evans69@example.com,+1-555-100-1068,Marketing,2025-05-28,5,2025,,,,,0,0
C0070,Jonah Harris,jonah.harris70@example.com,+1-555-100-1069,Operations,2025-05-30,5,2025,,,,,0,0
C0071,Aisha Adams,aisha.adams71@example.com,+1-555-100-1070,Product,2025-06-02,6,2025,2025-06-22,True,2025-07-04,32.0,1,1
C0072,Ben Davis,ben.davis72@example.com,+1-555-100-1071,Sales,2025-06-04,6,2025,2025-06-25,True,2025-07-07,33.0,1,1
C0073,Carla Green,carla.green73@example.com,+1-555-100-1072,Data Analytics,2025-06-06,6,2025,2025-06-28,True,2025-07-04,28.0,1,1
C0074,Dinesh Jones,dinesh.jones74@example.com,+1-555-100-1073,Engineering,2025-06-08,6,2025,2025-07-01,True,2025-07-07,29.0,1,1
C0075,Elena Chen,elena.chen75@example.com,+1-555-100-1074,Finance,2025-06-10,6,2025,2025-07-04,True,2025-07-10,30.0,1,1
C0076,Fatima Foster,fatima.foster76@example.com,+1-555-100-1075,Human Resources,2025-06-12,6,2025,2025-07-02,False,,,0,0
C0077,Grace Ibrahim,grace.ibrahim77@example.com,+1-555-100-1076,Marketing,2025-06-14,6,2025,2025-07-05,False,,,0,0
C0078,Hugo Bennett,hugo.bennett78@example.com,+1-555-100-1077,Operations,2025-06-16,6,2025,,,,,0,0
C0079,Iris Evans,iris.evans79@example.com,+1-555-100-1078,Product,2025-06-18,6,2025,,,,,0,0
C0080,Jonah Harris,jonah.harris80@example.com,+1-555-100-1079,Sales,2025-06-20,6,2025,,,,,0,0
C0081,Aisha Adams,aisha.adams81@example.com,+1-555-100-1080,Data Analytics,2025-06-23,6,2025,2025-07-13,True,2025-07-23,30.0,1,1
C0082,Ben Davis,ben.davis82@example.com,+1-555-100-1081,Engineering,2025-06-25,6,2025,2025-07-16,True,2025-07-26,31.0,1,1
C0083,Carla Green,carla.green83@example.com,+1-555-100-1082,Finance,2025-06-27,6,2025,2025-07-19,True,2025-07-29,32.0,1,1
C0084,Dinesh Jones,dinesh.jones84@example.com,+1-555-100-1083,Human Resources,2025-06-29,6,2025,2025-07-22,True,2025-08-01,33.0,1,1
C0085,Elena Chen,elena.chen85@example.com,+1-555-100-1084,Marketing,2025-07-01,7,2025,2025-07-25,True,2025-07-29,28.0,1,1
C0086,Fatima Foster,fatima.foster86@example.com,+1-555-100-1085,Operations,2025-07-03,7,2025,2025-07-23,False,,,0,0
C0087,Grace Ibrahim,grace.ibrahim87@example.com,+1-555-100-1086,Product,2025-07-05,7,2025,2025-07-26,False,,,0,0
C0088,Hugo Bennett,hugo.bennett88@example.com,+1-555-100-1087,Sales,2025-07-07,7,2025,,,,,0,0
C0089,Iris Evans,iris.evans89@example.com,+1-555-100-1088,Data Analytics,2025-07-09,7,2025,,,,,0,0
C0090,Jonah Harris,jonah.harris90@example.com,+1-555-100-1089,Engineering,2025-07-11,7,2025,,,,,0,0
C0091,Aisha Adams,aisha.adams91@example.com,+1-555-100-1090,Finance,2025-07-14,7,2025,2025-08-03,True,2025-08-11,28.0,1,1
C0092,Ben Davis,ben.davis92@example.com,+1-555-100-1091,Human Resources,2025-07-16,7,2025,2025-08-06,True,2025-08-14,29.0,1,1
C0093,Carla Green,carla.green93@example.com,+1-555-100-1092,Marketing,2025-07-18,7,2025,2025-08-09,True,2025-08-17,30.0,1,1
C0094,Dinesh Jones,dinesh.jones94@example.com,+1-555-100-1093,Operations,2025-07-20,7,2025,2025-08-12,True,2025-08-20,31.0,1,1
C0095,Elena Chen,elena.chen95@example.com,+1-555-100-1094,Product,2025-07-22,7,2025,2025-08-15,True,2025-08-23,32.0,1,1
C0096,Fatima Foster,fatima.foster96@example.com,+1-555-100-1095,Sales,2025-07-24,7,2025,2025-08-13,False,,,0,0
C0097,Grace Ibrahim,grace.ibrahim97@example.com,+1-555-100-1096,Data Analytics,2025-07-26,7,2025,2025-08-16,False,,,0,0
C0098,Hugo Bennett,hugo.bennett98@example.com,+1-555-100-1097,Engineering,2025-07-28,7,2025,,,,,0,0
C0099,Iris Evans,iris.evans99@example.com,+1-555-100-1098,Finance,2025-07-30,7,2025,,,,,0,0
C0100,Jonah Harris,jonah.harris100@example.com,+1-555-100-1099,Human Resources,2025-08-01,8,2025,,,,,0,0
